DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,HIST_NDEV,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_bump,CM_com,CM_dependabot,CM_flyway,CM_github,CM_https,CM_maven,CM_release,CM_spring,CM_version
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.19684457388171123,0.0,0.2023438442088624,0.0,0.0,0.0,0.24269587331992262,0.0,0.7474934910541708,0.5501466862112644
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0259232028387176,0.23811361760135288,0.02664742244683008,0.0,0.2524674368628874,0.22459856662064956,0.0,0.14768259699588282,0.8859620819813152,0.14490177561382064
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.2963325618381259,0.0,0.3046112399451707,0.0,0.0,0.0,0.3653577463184312,0.0,0.0,0.8281984801354297
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.5287546540494152,0.0,0.5435265358545209,0.0,0.0,0.0,0.6519182622408023,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.43442864819795163,0.570053992918222,0.4465653331326099,0.0,0.0,0.0,0.5356207595183864,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.10059453764866413,0.6599969648669891,0.10340485923922633,0.0,0.5598259981458773,0.43577541529730607,0.0,0.14326993712912814,0.0,0.14057220487983346
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.08545948264463052,0.560696440213802,0.08784697439923544,0.0,0.5944959996194671,0.49361383379317564,0.0,0.2434282216862821,0.0,0.11942226868423908
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.1146974826029326,0.15050517088752696,0.11790179984794986,0.0,0.15957783142079693,0.0,0.0,0.0,0.0,0.9616791368914664
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.5819497871730053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813224719993984
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.5287546540494152,0.0,0.5435265358545209,0.0,0.0,0.0,0.6519182622408023,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.5287546540494152,0.0,0.5435265358545209,0.0,0.0,0.0,0.6519182622408023,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.5287546540494152,0.0,0.5435265358545209,0.0,0.0,0.0,0.6519182622408023,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.08545948264463052,0.560696440213802,0.08784697439923544,0.0,0.5944959996194671,0.49361383379317564,0.0,0.2434282216862821,0.0,0.11942226868423908
