DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_bot,CM_com,CM_dependabot,CM_github,CM_https,CM_maven,CM_merge,CM_pull,CM_release,CM_request
1,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.6758267294073109,0.0,0.7370605347043193,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.7368879155047816,0.34517375968466923,0.0,0.3764484960548977,0.0,0.4428744804413254,0.0,0.0,0.0,0.0
1,1,0.0,23,5,0,0,1,0,0,0,0,0,0.0,0.31386304465220527,0.0,0.3423008493880643,0.36830241136576064,0.805402664194764,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.683801089475999,0.6406135532002002,0.0,0.34932842066979186,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.683801089475999,0.6406135532002002,0.0,0.34932842066979186,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.5,2,2,0,0,1,0,0,0,0,0,0.5846819155286007,0.27387727598218664,0.0,0.2986921391165225,0.0,0.7027953481522053,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
37,38,0.8136946019743749,69,69,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7753288177255254,0.0,0.0,0.6315577759827988,0.0
37,38,0.8136946019743749,69,69,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5231314913737646,0.0,0.0,0.8522519831206384,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.6666666666666667,3,3,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.48979591836734704,14,0,0,0,1,0,0,0,0,0,0.0,0.6114934179602952,0.0,0.3334491268237129,0.7175566037684689,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.683801089475999,0.6406135532002002,0.0,0.34932842066979186,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.683801089475999,0.6406135532002002,0.0,0.34932842066979186,0.0,0.0,0.0,0.0,0.0,0.0
37,38,0.8136946019743749,69,69,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7753288177255254,0.0,0.0,0.6315577759827988,0.0
37,38,0.8136946019743749,69,69,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5231314913737646,0.0,0.0,0.8522519831206384,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,46,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.2524297033632591,0.0,0.0,0.0,0.0,0.967615235958972,0.0
2,2,0.12070759625390237,21,10,0,0,1,0,0,0,0,0,0.7624777054187003,0.35716055415948084,0.0,0.38952136334551757,0.0,0.0,0.0,0.0,0.3732789771596783,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.7368879155047816,0.34517375968466923,0.0,0.3764484960548977,0.0,0.4428744804413254,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.6666666666666667,3,3,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.5,2,2,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,1,0,0,0,0,0,0.6646990111589801,0.31135896235081945,0.0,0.6791397655329091,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.5,2,2,0,0,1,0,0,0,0,0,0.8218842011996117,0.3849878031439372,0.0,0.4198699218197006,0.0,0.0,0.0,0.0,0.0,0.0
