classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.8875502008032129,0.7894179894179894,0.9296482412060301,0.7894179894179895,0.8851674641148325,0.9788359788359788
Linear SVM,0.8895582329317269,0.7964285714285715,0.9306431273644388,0.7964285714285715,0.8891566265060241,0.9761904761904762
RBF SVM,0.8674698795180723,0.7363756613756614,0.9189189189189189,0.7363756613756614,0.8577981651376146,0.9894179894179894
Gaussian Process,0.891566265060241,0.792063492063492,0.9323308270676691,0.792063492063492,0.8857142857142857,0.9841269841269841
Decision Tree,0.8895582329317269,0.7878968253968254,0.9311639549436795,0.7878968253968255,0.8836104513064132,0.9841269841269841
Random Forest,0.857429718875502,0.7126984126984127,0.9135200974421437,0.7126984126984127,0.8465011286681715,0.9920634920634921
Neural Net,0.8955823293172691,0.79755291005291,0.9348370927318296,0.7975529100529101,0.888095238095238,0.9867724867724867
AdaBoost,0.8734939759036144,0.7488756613756613,0.9223181257706535,0.7488756613756613,0.8637413394919169,0.9894179894179894
