classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.8875502008032129,0.7894179894179894,0.7200000000000001,0.7894179894179895,0.9,0.6
Linear SVM,0.8895582329317269,0.7964285714285715,0.729064039408867,0.7964285714285714,0.891566265060241,0.6166666666666667
RBF SVM,0.8674698795180723,0.7363756613756614,0.6373626373626374,0.7363756613756615,0.9354838709677419,0.48333333333333334
Gaussian Process,0.891566265060241,0.792063492063492,0.7272727272727274,0.7920634920634921,0.9230769230769231,0.6
Decision Tree,0.8855421686746988,0.7767195767195767,0.7046632124352331,0.7767195767195767,0.9315068493150684,0.5666666666666667
Random Forest,0.8714859437751004,0.74755291005291,0.6559139784946235,0.74755291005291,0.9242424242424242,0.5083333333333333
Neural Net,0.8895582329317269,0.7907407407407407,0.7236180904522612,0.7907407407407407,0.9113924050632911,0.6
AdaBoost,0.8734939759036144,0.7488756613756613,0.6594594594594594,0.7488756613756614,0.9384615384615385,0.5083333333333333
