Project,Logistic Regression,Neural Net,Linear SVM,RBF SVM,Random Forest,Decision Tree,Ridge Classifier,Gaussian Process,Nearest Neighbors,AdaBoost,Naive Bayes,QDA
eBay_parallec,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882352,0.9411764705882352,0.8888888888888888,0.0,0.0
ksclarke_solr-iso639-filter,0.84375,1.0,0.9285714285714286,1.0,0.9615384615384616,0.96,0.84375,0.9629629629629628,0.7878787878787878,0.0,0.0,0.0
jMotif_SAX,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,0.0,0.0,0.0
jMotif_GI,0.9090909090909092,0.9090909090909092,0.7142857142857143,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.0,0.0,0.0
tracee_contextlogger,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.8,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.8,1.0,0.0,0.0
Average,0.8792446524064171,0.9104946524064171,0.849404761904762,0.7474999999999999,0.7334841628959277,0.7253333333333333,0.6895833333333333,0.9038225391166567,0.7058110516934046,0.37777777777777777,0.0,0.0
Median,0.8941677807486632,0.9239973262032086,0.8889880952380953,0.86875,0.8475113122171947,0.8426666666666667,0.7666666666666666,0.9251336898395721,0.793939393939394,0.18888888888888888,0.0,0.0
