Project,Logistic Regression,Neural Net,Linear SVM,RBF SVM,Random Forest,Ridge Classifier,Gaussian Process,Nearest Neighbors,AdaBoost,Decision Tree,Naive Bayes,QDA
eBay_parallec,1.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,0.972972972972973,0.945945945945946,0.945945945945946,0.5675675675675675,0.5675675675675675
dropwizard_dropwizard,0.9751552795031057,0.9751552795031057,0.9751552795031057,0.9751552795031057,0.9720496894409938,0.9751552795031057,0.9743788819875776,0.9728260869565216,0.9751552795031057,0.968167701863354,0.9751552795031057,0.9751552795031057
jMotif_GI,0.96875,0.96875,0.9375,0.875,0.875,0.8645833333333334,0.96875,0.875,0.8645833333333334,0.7916666666666666,0.875,0.875
jMotif_SAX,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9583333333333334,0.9523809523809524,0.9583333333333334,0.9583333333333334,0.8690476190476191,0.9583333333333334,0.8690476190476191,0.8690476190476191
steve-community_steve,0.951276102088167,0.9443155452436196,0.951276102088167,0.951276102088167,0.9443155452436196,0.951276102088167,0.948955916473318,0.9443155452436196,0.951276102088167,0.9118329466357308,0.951276102088167,0.951276102088167
Average,0.969512466794445,0.9681203554255354,0.9632624667944449,0.950762466794445,0.9499397136035894,0.9486791334611118,0.9646782209534404,0.9446895877012895,0.9212016559836342,0.9151893188890062,0.8476093136412919,0.8476093136412919
Median,0.9691312333972225,0.9684351777127678,0.9578217095876986,0.9518285272345597,0.9541365234684613,0.9518285272345597,0.9667141104767202,0.9515114605173114,0.9335738009647901,0.9305676324174761,0.8720238095238095,0.8720238095238095
